Date,"""Date+Time""",PM2.5 Conc__(ug/m3),Wind'Speed (miles/h),Wind Direction (Degrees),Date,% RH,error,technician
5/6/2018,3:00,9,3,158,5/6/2018,,,
5/6/2018,4:00,8,20,203,5/6/2018,,,
5/6/2018,5:00,7,20,203,5/6/2018,,,
5/6/2018,6:00,8,5,180,5/6/2018,,,
5/6/2018,7:00,5,20,270,5/6/2018,,,
5/6/2018,8:00,6,7,270,5/6/2018,,,
5/6/2018,9:00,6,3,248,5/6/2018,,,
5/6/2018,10:00,7,3,270,5/6/2018,,,
5/6/2018,11:00,8,6,68,5/6/2018,,,
5/6/2018,12:00,7,6,68,5/6/2018,,,
5/6/2018,13:00,12,6,68,5/6/2018,,,
5/6/2018,14:00,9,7,68,5/6/2018,,,
5/6/2018,15:00,8,7,68,5/6/2018,,,
5/6/2018,16:00,11,7,68,5/6/2018,,,
5/6/2018,17:00,7,6,68,5/6/2018,,,
5/6/2018,18:00,13,6,68,5/6/2018,,,
5/6/2018,19:00,16,5,68,5/6/2018,,,
5/6/2018,20:00,11,1,68,5/6/2018,,,
5/6/2018,21:00,14,0,158,5/6/2018,,,
5/6/2018,22:00,13,1,225,5/6/2018,,,
5/6/2018,23:00,10,2,225,5/6/2018,,,
5/7/2018,0:00,9,3,203,5/7/2018,,,
5/7/2018,1:00,6,1,248,5/7/2018,,,
5/7/2018,2:00,11,3,158,5/7/2018,,,
5/7/2018,3:00,8,2,203,5/7/2018,,,
5/7/2018,4:00,6,2,270,5/7/2018,,,
5/7/2018,5:00,6,3,270,5/7/2018,,,
5/7/2018,6:00,7,3,270,5/7/2018,,,
5/7/2018,7:00,5,2,180,5/7/2018,,,
5/7/2018,8:00,filter error,2,225,5/7/2018,,,
5/7/2018,9:00,2,2,270,5/7/2018,,,
5/7/2018,10:00,3,4,68,5/7/2018,,,
5/7/2018,11:00,6,4,45,5/7/2018,,,
5/7/2018,12:00,6,5,90,5/7/2018,,,
5/7/2018,13:00,10,5,68,5/7/2018,,,
5/7/2018,14:00,8,6,68,5/7/2018,,,
5/7/2018,15:00,9,8,68,5/7/2018,,out of limits,
5/7/2018,16:00,6,7,68,5/7/2018,,,bob
5/7/2018,17:00,6,6,90,5/7/2018,,,bob
5/7/2018,18:00,6,5,68,5/7/2018,,,
5/7/2018,19:00,10,4,68,5/7/2018,,,
5/7/2018,20:00,9,2,68,5/7/2018,,,
5/7/2018,21:00,7,1,225,5/7/2018,,,
5/7/2018,22:00,13,1,180,5/7/2018,,,
5/7/2018,23:00,9,2,225,5/7/2018,,,
5/8/2018,0:00,9,1,248,5/8/2018,,,
5/8/2018,1:00,7,1,248,5/8/2018,,,
5/8/2018,2:00,9,3,225,5/8/2018,,,
5/8/2018,3:00,9,3,158,5/8/2018,,,
5/8/2018,4:00,7,2,270,5/8/2018,,,
5/8/2018,5:00,8,4,180,5/8/2018,,,
5/8/2018,6:00,10,4,270,5/8/2018,,,
5/8/2018,7:00,12,4,270,5/8/2018,,,
5/8/2018,8:00,7,4,270,5/8/2018,,,
5/8/2018,9:00,,4,270,5/8/2018,,,
5/8/2018,10:00,,5,270,5/8/2018,,,
5/8/2018,11:00,10,7,68,5/8/2018,,,
5/8/2018,12:00,9,7,68,5/8/2018,,,
5/8/2018,13:00,16,7,68,5/8/2018,,,
5/8/2018,14:00,16,6,68,5/8/2018,,,
5/8/2018,15:00,18,6,68,5/8/2018,,,
5/8/2018,16:00,16,7,68,5/8/2018,,,
5/8/2018,17:00,11,5,68,5/8/2018,,,
5/8/2018,18:00,17,6,68,5/8/2018,,,
5/8/2018,19:00,14,5,68,5/8/2018,,,
5/8/2018,20:00,13,2,45,5/8/2018,,,
5/8/2018,21:00,11,1,113,5/8/2018,,,
5/8/2018,22:00,13,0,225,5/8/2018,,,
5/8/2018,23:00,10,0,225,5/8/2018,,,
5/9/2018,0:00,11,0,248,5/9/2018,,,
5/9/2018,1:00,8,0,248,5/9/2018,,,
5/9/2018,2:00,8,0,248,5/9/2018,,,
5/9/2018,3:00,11,2,225,5/9/2018,,,
5/9/2018,4:00,8,3,180,5/9/2018,,,
5/9/2018,5:00,11,3,180,5/9/2018,,,
5/9/2018,6:00,12,4,180,5/9/2018,,,
5/9/2018,7:00,7,4,270,5/9/2018,,,
5/9/2018,8:00,11,4,270,5/9/2018,,,
5/9/2018,9:00,12,4,293,5/9/2018,,,
5/9/2018,10:00,11,4,68,5/9/2018,,,
5/9/2018,11:00,8,7,68,5/9/2018,,,
5/9/2018,12:00,7,7,68,5/9/2018,,,
5/9/2018,13:00,10,7,68,5/9/2018,,,
5/9/2018,14:00,13,6,90,5/9/2018,,,
5/9/2018,15:00,19,6,68,5/9/2018,,,
5/9/2018,16:00,13,7,68,5/9/2018,,,
5/9/2018,17:00,15,7,68,5/9/2018,,,
5/9/2018,18:00,11,6,68,5/9/2018,,,
5/9/2018,19:00,15,4,68,5/9/2018,,,
